215: [-525.0, +150.0],
216: [-915.0, +210.0],
217: [-855.0, +210.0],
218: [-795.0, +210.0],
219: [-735.0, +210.0],
220: [-675.0, +210.0],
221: [-615.0, +210.0],
222: [-555.0, +210.0],
223: [-495.0, +210.0],
224: [-945.0, +270.0],
225: [-885.0, +270.0],
226: [-825.0, +270.0],
227: [-765.0, +270.0],
228: [-705.0, +270.0],
229: [-645.0, +270.0],
230: [-585.0, +270.0],
231: [-525.0, +270.0],
232: [-915.0, +330.0],
233: [-855.0, +330.0],
234: [-795.0, +330.0],
235: [-735.0, +330.0],
236: [-675.0, +330.0],
237: [-615.0, +330.0],
238: [-555.0, +330.0],
239: [-495.0, +330.0],
240: [-945.0, +390.0],
241: [-885.0, +390.0],
242: [-825.0, +390.0],
243: [-765.0, +390.0],
244: [-705.0, +390.0],
245: [-645.0, +390.0],
246: [-585.0, +390.0],
247: [-525.0, +390.0],
248: [-915.0, +450.0],
249: [-855.0, +450.0],
250: [-795.0, +450.0],
251: [-735.0, +450.0],
252: [-675.0, +450.0],
253: [-615.0, +450.0],
254: [-555.0, +450.0],
255: [-495.0, +450.0],
256: [-465.0, +390.0],
257: [-465.0, +270.0],
258: [-465.0, +150.0],
259: [-465.0,  +30.0],
260: [-435.0, +450.0],
261: [-435.0, +330.0],
262: [-435.0, +210.0],
263: [-435.0,  +90.0],
264: [-405.0, +390.0],
265: [-405.0, +270.0],
266: [-405.0, +150.0],
267: [-405.0,  +30.0],
268: [-375.0, +450.0],
269: [-375.0, +330.0],
270: [-375.0, +210.0],
271: [-375.0,  +90.0],
272: [-345.0, +390.0],
273: [-345.0, +270.0],
274: [-345.0, +150.0],
275: [-345.0,  +30.0],
276: [-315.0, +450.0],
277: [-315.0, +330.0],
278: [-315.0, +210.0],
279: [-315.0,  +90.0],
280: [-285.0, +390.0],
281: [-285.0, +270.0],
282: [-285.0, +150.0],
283: [-285.0,  +30.0],
284: [-255.0, +450.0],
285: [-255.0, +330.0],
286: [-255.0, +210.0],
287: [-255.0,  +90.0],
288: [-225.0, +390.0],
289: [-225.0, +270.0],
290: [-225.0, +150.0],
291: [-225.0,  +30.0],
292: [-195.0, +450.0],
293: [-195.0, +330.0],
294: [-195.0, +210.0],
295: [-195.0,  +90.0],
296: [-165.0, +390.0],
297: [-165.0, +270.0],
298: [-165.0, +150.0],
299: [-165.0,  +30.0],
300: [-135.0, +450.0],
301: [-135.0, +330.0],
302: [-135.0, +210.0],
303: [-135.0,  +90.0],
304: [-105.0, +390.0],
305: [-105.0, +270.0],
306: [-105.0, +150.0],
307: [-105.0,  +30.0],
308: [ -75.0, +450.0],
309: [ -75.0, +330.0],
310: [ -75.0, +210.0],
311: [ -75.0,  +90.0],
312: [ -45.0, +390.0],
313: [ -45.0, +270.0],
314: [ -45.0, +150.0],
315: [ -45.0,  +30.0],
316: [ -15.0, +450.0],
317: [ -15.0, +330.0],
318: [ -15.0, +210.0],
319: [ -15.0,  +90.0],
320: [ +15.0, +390.0],
321: [ +15.0, +270.0],
322: [ +15.0, +150.0],
323: [ +15.0,  +30.0],
324: [ +45.0, +450.0],
325: [ +45.0, +330.0],
326: [ +45.0, +210.0],
327: [ +45.0,  +90.0],
328: [ +75.0, +390.0],
329: [ +75.0, +270.0],
330: [ +75.0, +150.0],
331: [ +75.0,  +30.0],
332: [+105.0, +450.0],
333: [+105.0, +330.0],
334: [+105.0, +210.0],
335: [+105.0,  +90.0],
336: [+135.0, +390.0],
337: [+135.0, +270.0],
338: [+135.0, +150.0],
339: [+135.0,  +30.0],
340: [+165.0, +450.0],
341: [+165.0, +330.0],
342: [+165.0, +210.0],
343: [+165.0,  +90.0],
344: [+195.0, +390.0],
345: [+195.0, +270.0],
346: [+195.0, +150.0],
347: [+195.0,  +30.0],
348: [+225.0, +450.0],
349: [+225.0, +330.0],
350: [+225.0, +210.0],
351: [+225.0,  +90.0],
352: [+255.0, +390.0],
353: [+255.0, +270.0],
354: [+255.0, +150.0],
355: [+255.0,  +30.0],
356: [+285.0, +450.0],
357: [+285.0, +330.0],
358: [+285.0, +210.0],
359: [+285.0,  +90.0],
360: [+315.0, +390.0],
361: [+315.0, +270.0],
362: [+315.0, +150.0],
363: [+315.0,  +30.0],
364: [+345.0, +450.0],
365: [+345.0, +330.0],
366: [+345.0, +210.0],
367: [+345.0,  +90.0],
368: [+375.0, +390.0],
369: [+375.0, +270.0],
370: [+375.0, +150.0],
371: [+375.0,  +30.0],
372: [+405.0, +450.0],
373: [+405.0, +330.0],
374: [+405.0, +210.0],
375: [+405.0,  +90.0],
376: [+435.0, +390.0],
377: [+435.0, +270.0],
378: [+435.0, +150.0],
379: [+435.0,  +30.0],
380: [+465.0, +450.0],
381: [+465.0, +330.0],
382: [+465.0, +210.0],
383: [+465.0,  +90.0],
384: [+525.0, +450.0],
385: [+585.0, +450.0],
386: [+645.0, +450.0],
387: [+705.0, +450.0],
388: [+765.0, +450.0],
389: [+825.0, +450.0],
390: [+885.0, +450.0],
391: [+945.0, +450.0],
392: [+495.0, +390.0],
393: [+555.0, +390.0],
394: [+615.0, +390.0],
395: [+675.0, +390.0],
396: [+735.0, +390.0],
397: [+795.0, +390.0],
398: [+855.0, +390.0],
399: [+915.0, +390.0],
400: [+525.0, +330.0],
401: [+585.0, +330.0],
402: [+645.0, +330.0],
403: [+705.0, +330.0],
404: [+765.0, +330.0],
405: [+825.0, +330.0],
406: [+885.0, +330.0],
407: [+945.0, +330.0],
408: [+495.0, +270.0],
409: [+555.0, +270.0],
410: [+615.0, +270.0],
411: [+675.0, +270.0],
412: [+735.0, +270.0],
413: [+795.0, +270.0],
414: [+855.0, +270.0],
415: [+915.0, +270.0],
416: [+525.0, +210.0],
417: [+585.0, +210.0],
418: [+645.0, +210.0],
419: [+705.0, +210.0],
420: [+765.0, +210.0],
421: [+825.0, +210.0],
422: [+885.0, +210.0],
423: [+945.0, +210.0],
424: [+495.0, +150.0],
425: [+555.0, +150.0],
426: [+615.0, +150.0],
427: [+675.0, +150.0],
428: [+735.0, +150.0],
429: [+795.0, +150.0],
430: [+855.0, +150.0],
431: [+915.0, +150.0],
432: [+525.0,  +90.0],
433: [+585.0,  +90.0],
434: [+645.0,  +90.0],
435: [+705.0,  +90.0],
436: [+765.0,  +90.0],
437: [+825.0,  +90.0],
438: [+885.0,  +90.0],
439: [+945.0,  +90.0],
440: [+495.0,  +30.0],
441: [+555.0,  +30.0],
442: [+615.0,  +30.0],
443: [+675.0,  +30.0],
444: [+735.0,  +30.0],
445: [+795.0,  +30.0],
446: [+855.0,  +30.0],
447: [+915.0,  +30.0],
448: [+525.0,  -30.0],
449: [+585.0,  -30.0],
450: [+645.0,  -30.0],
451: [+705.0,  -30.0],
452: [+765.0,  -30.0],
453: [+825.0,  -30.0],
454: [+885.0,  -30.0],
455: [+945.0,  -30.0],
456: [+495.0,  -90.0],
457: [+555.0,  -90.0],
458: [+615.0,  -90.0],
459: [+675.0,  -90.0],
460: [+735.0,  -90.0],
461: [+795.0,  -90.0],
462: [+855.0,  -90.0],
463: [+915.0,  -90.0],
464: [+525.0, -150.0],
465: [+585.0, -150.0],
466: [+645.0, -150.0],
467: [+705.0, -150.0],
468: [+765.0, -150.0],
469: [+825.0, -150.0],
470: [+885.0, -150.0],
471: [+945.0, -150.0],
472: [+495.0, -210.0],
473: [+555.0, -210.0],
474: [+615.0, -210.0],
475: [+675.0, -210.0],
476: [+735.0, -210.0],
477: [+795.0, -210.0],
478: [+855.0, -210.0],
479: [+915.0, -210.0],
480: [+525.0, -270.0],
481: [+585.0, -270.0],
482: [+645.0, -270.0],
483: [+705.0, -270.0],
484: [+765.0, -270.0],
485: [+825.0, -270.0],
486: [+885.0, -270.0],
487: [+945.0, -270.0],
488: [+495.0, -330.0],
489: [+555.0, -330.0],
490: [+615.0, -330.0],
491: [+675.0, -330.0],
492: [+735.0, -330.0],
493: [+795.0, -330.0],
494: [+855.0, -330.0],
495: [+915.0, -330.0],
496: [+525.0, -390.0],
497: [+585.0, -390.0],
498: [+645.0, -390.0],
499: [+705.0, -390.0],
500: [+765.0, -390.0],
501: [+825.0, -390.0],
502: [+885.0, -390.0],
503: [+945.0, -390.0],
504: [+495.0, -450.0],
505: [+555.0, -450.0],
506: [+615.0, -450.0],
507: [+675.0, -450.0],
508: [+735.0, -450.0],
509: [+795.0, -450.0],
510: [+855.0, -450.0],
511: [+915.0, -450.0]
